timestamp,src_ip,action,packets,total_requests,time_window_sec,in_violation_list,in_blacklist,requests_per_sec,label
2026-01-19 15:12:25,192.168.2.29,RATE_LIMITED,1,1,0,1,1,0,attack
2026-01-19 15:12:25,192.168.2.29,BANNED,1,2,0,1,1,0,attack
2026-01-19 15:12:25,192.168.2.29,DROP,1,3,0,1,1,0,attack
2026-01-19 15:12:25,192.168.2.29,BLOCKED,79,82,0,1,1,0,attack
2026-01-19 15:12:25,192.168.2.29,RATE_LIMITED,1,1,0,1,1,0,attack
2026-01-19 15:12:25,192.168.2.29,BANNED,1,2,0,1,1,0,attack
2026-01-19 15:12:25,192.168.2.29,DROP,1,3,0,1,1,0,attack
2026-01-19 15:12:25,192.168.2.29,BLOCKED,116,119,0,1,1,0,attack
2026-01-19 15:12:26,192.168.2.29,BLOCKED,79,161,1,1,1,161.00,attack
2026-01-19 15:12:26,192.168.2.29,BLOCKED,67,186,1,1,1,186.00,attack
2026-01-19 15:12:27,192.168.2.29,BLOCKED,39,200,2,1,1,100.00,attack
2026-01-19 15:12:27,192.168.2.29,BLOCKED,16,202,2,1,1,101.00,attack
2026-01-19 15:12:28,192.168.2.29,BLOCKED,42,242,3,1,1,80.66,attack
2026-01-19 15:12:29,192.168.2.29,BLOCKED,54,256,4,1,1,64.00,attack
2026-01-19 15:12:30,192.168.2.29,BLOCKED,30,272,5,1,1,54.40,attack
2026-01-19 15:12:30,192.168.2.29,BLOCKED,16,272,5,1,1,54.40,attack
2026-01-19 15:12:31,192.168.2.29,BLOCKED,22,294,6,1,1,49.00,attack
2026-01-19 15:12:32,192.168.2.29,BLOCKED,39,311,7,1,1,44.42,attack
2026-01-19 15:12:32,192.168.2.29,BLOCKED,17,311,7,1,1,44.42,attack
2026-01-19 15:12:33,192.168.2.29,BLOCKED,2,313,8,1,1,39.12,attack
2026-01-19 15:12:34,192.168.2.29,BLOCKED,2,313,9,1,1,34.77,attack
2026-01-19 15:12:35,192.168.2.29,BLOCKED,2,315,10,1,1,31.50,attack
2026-01-19 15:12:36,192.168.2.29,BLOCKED,16,329,11,1,1,29.90,attack
2026-01-19 15:12:36,192.168.2.29,BLOCKED,14,329,11,1,1,29.90,attack
2026-01-19 15:12:37,192.168.2.29,BLOCKED,2,331,12,1,1,27.58,attack
2026-01-19 15:12:37,192.168.2.29,BLOCKED,2,331,12,1,1,27.58,attack
2026-01-19 15:12:38,192.168.2.29,BLOCKED,12,343,13,1,1,26.38,attack
2026-01-19 15:12:38,192.168.2.29,BLOCKED,23,354,13,1,1,27.23,attack
2026-01-19 15:12:39,192.168.2.29,BLOCKED,18,361,14,1,1,25.78,attack
2026-01-19 15:12:39,192.168.2.29,BLOCKED,8,362,14,1,1,25.85,attack
2026-01-19 15:12:41,192.168.2.29,BLOCKED,4,365,16,1,1,22.81,attack
2026-01-19 15:12:41,192.168.2.29,BLOCKED,3,365,16,1,1,22.81,attack
2026-01-19 15:12:42,192.168.2.29,BLOCKED,4,369,17,1,1,21.70,attack
2026-01-19 15:12:42,192.168.2.29,BLOCKED,5,370,17,1,1,21.76,attack
2026-01-19 15:12:43,192.168.2.29,BLOCKED,2,371,18,1,1,20.61,attack
2026-01-19 15:12:43,192.168.2.29,BLOCKED,2,372,18,1,1,20.66,attack
2026-01-19 15:12:44,192.168.2.29,BLOCKED,14,385,19,1,1,20.26,attack
2026-01-19 15:12:44,192.168.2.29,BLOCKED,13,385,20,1,1,19.25,attack
2026-01-19 15:12:46,192.168.2.29,BLOCKED,1,386,21,1,1,18.38,attack
2026-01-19 15:12:46,192.168.2.29,BLOCKED,1,386,21,1,1,18.38,attack
2026-01-19 15:12:47,192.168.2.29,BLOCKED,1,387,22,1,1,17.59,attack
2026-01-19 15:12:47,192.168.2.29,BLOCKED,1,387,22,1,1,17.59,attack
2026-01-19 15:12:48,192.168.2.29,BLOCKED,1,388,23,1,1,16.86,attack
2026-01-19 15:12:48,192.168.2.29,BLOCKED,1,388,23,1,1,16.86,attack
2026-01-19 15:12:52,192.168.2.29,BLOCKED,23,411,27,1,1,15.22,attack
2026-01-19 15:12:52,192.168.2.29,BLOCKED,23,411,27,1,1,15.22,attack
2026-01-19 15:12:53,192.168.2.29,BLOCKED,3,414,28,1,1,14.78,attack
2026-01-19 15:12:53,192.168.2.29,BLOCKED,3,414,28,1,1,14.78,attack
